author id,created_at,geo,id,lang,like_count,quote_count,reply_count,retweet_count,source,tweet
65434959,2022-03-26 01:44:12+00:00, ,1507533847734403078,en,3,0,1,0,Twitter for iPhone,@ProFootballTalk @That_Boi_Dhawk Read this out loud and ask yourself if it makes sense.  Really read the first 3 words loud. I DONT KNOW.   That’s all you need to know. The honest answer is we don’t know and should reserve judgment until we do.
1414856009248501768,2022-03-26 01:43:20+00:00, ,1507533629303320580,en,0,0,0,0,Twitter for Android,I sleep at 6AM after louis' show then take my quiz at 7:30 AM. I dont know how my brain still manage to solve🤯 https://t.co/lwlICwyRZA
1489085288013987840,2022-03-26 01:43:16+00:00, ,1507533614245834753,en,0,0,0,0,Twitter for iPhone,@folkloregulus I DONT KNOW😭😭😭😭
2242607850,2022-03-26 01:43:03+00:00, ,1507533556494516224,en,0,0,0,0,Twitter Web App,"Sawyer Brown https://t.co/fFE966Srx1 via @YouTube I will be at The Opp, Alabama Rattlesnake Rodeo tomorrow. I dont know if I'll be there when Sawyer Brown performs or not. I'm not playing or singing there, but I'll be there. #OppAlabamaRattlesnakeRodeo #RattlesnakeRodeo"
1483770694177542147,2022-03-26 01:43:01+00:00, ,1507533549909553154,en,1,0,0,0,Twitter for iPhone,"@itssoott your life your time - Christian leave
Turn the lights off - tally hall
Choke - I DONT KNOW HOW BUT THEY FOUND ME
Monster - dodie 
Kitchen without gun - YouSeeKenny
Pit of vipers - Simon Curtis 

These are mine atm :]"
1378250905091366914,2022-03-26 01:42:59+00:00, ,1507533543240798215,en,0,0,0,0,Twitter for iPhone,"Please watch bad vegan and kalau ada orang nak pinjam duit just fucking say no. Wtf gullible gila. Ayat manis sikit bagi pinjam. Bodoh namampos. And Sarma pretending to be innocent, teo pigtails, white shirts, less makeup lololol, acting i-dont-know-anything 🤪"
19500837,2022-03-26 01:42:57+00:00, ,1507533533446905861,en,2,0,1,0,Twitter Web App,@shyshypixie 119?? i dont know what i could have done lmao
1348885347128782849,2022-03-26 01:42:54+00:00, ,1507533518901026828,en,0,0,1,0,Twitter for iPhone,@nourrris this feels ilegal nour im scared i dont know if im prepared enough to hear ur voice
846998243259101184,2022-03-26 01:42:52+00:00, ,1507533512571826177,en,7,0,1,1,TweetDeck,"if you're actively suicidal i wish i could tell you it gets better but i dont know that, and i wish i could tell you it isnt worth it but i dont really know that either. it's not my call to make for anyone but myself. i do strongly, strongly suggest at least trying MDMA first"
1474913932515102723,2022-03-26 01:42:46+00:00, ,1507533485547864065,en,0,0,0,0,Twitter Web App,"@CastorArctis i dont know either.

could have snatched up what they thought was an underselling artist, or a cheap unsaid discount."
